document_currency_cost,updated_cost
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
22.50,22.50
22.50,22.50
16.50,16.50
16.50,16.50
16.50,16.50
16.50,16.50
1.75,1.75
1.75,1.75
1.75,1.75
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
16.50,16.50
,
1.75,1.75
,
52.00,52.00
52.00,52.00
0.93,0.93
0.93,0.93
1.58,1.58
15.75,15.75
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
22.50,22.50
22.50,22.50
16.50,16.50
16.50,16.50
16.50,16.50
16.50,16.50
1.75,1.75
1.75,1.75
1.75,1.75
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
16.50,16.50
,
1.75,1.75
,
52.00,52.00
52.00,52.00
0.93,0.93
0.93,0.93
1.58,1.58
15.75,15.75
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
22.50,22.50
22.50,22.50
16.50,16.50
16.50,16.50
16.50,16.50
16.50,16.50
1.75,1.75
1.75,1.75
1.75,1.75
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
16.50,16.50
,
1.75,1.75
,
52.00,52.00
52.00,52.00
0.93,0.93
0.93,0.93
1.58,1.58
15.75,15.75
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
22.50,22.50
22.50,22.50
16.50,16.50
16.50,16.50
16.50,16.50
16.50,16.50
1.75,1.75
1.75,1.75
1.75,1.75
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
49.50,49.50
49.50,49.50
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
16.50,16.50
,
1.75,1.75
,
52.00,52.00
52.00,52.00
0.93,0.93
0.93,0.93
1.58,1.58
15.75,15.75
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
22.50,22.50
22.50,22.50
16.50,16.50
16.50,16.50
16.50,16.50
16.50,16.50
1.75,1.75
1.75,1.75
1.75,1.75
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
16.50,16.50
,
1.75,1.75
,
52.00,52.00
52.00,52.00
0.93,0.93
0.93,0.93
1.58,1.58
15.75,15.75
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
22.50,22.50
22.50,22.50
16.50,16.50
16.50,16.50
16.50,16.50
16.50,16.50
1.75,1.75
1.75,1.75
1.75,1.75
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
16.50,16.50
,
1.75,1.75
,
52.00,52.00
52.00,52.00
0.93,0.93
0.93,0.93
1.58,1.58
15.75,15.75
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
22.50,22.50
22.50,22.50
16.50,16.50
16.50,16.50
16.50,16.50
16.50,16.50
1.75,1.75
1.75,1.75
1.75,1.75
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
16.50,16.50
,
1.75,1.75
,
52.00,52.00
52.00,52.00
0.93,0.93
0.93,0.93
1.58,1.58
15.75,15.75
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
22.50,22.50
22.50,22.50
16.50,16.50
16.50,16.50
16.50,16.50
16.50,16.50
1.75,1.75
1.75,1.75
1.75,1.75
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
16.50,16.50
,
1.75,1.75
,
52.00,52.00
52.00,52.00
0.93,0.93
0.93,0.93
1.58,1.58
15.75,15.75
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
22.50,22.50
22.50,22.50
16.50,16.50
16.50,16.50
16.50,16.50
16.50,16.50
1.75,1.75
1.75,1.75
1.75,1.75
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
16.50,16.50
,
1.75,1.75
,
52.00,52.00
52.00,52.00
0.93,0.93
0.93,0.93
1.58,1.58
15.75,15.75
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
22.50,22.50
22.50,22.50
16.50,16.50
16.50,16.50
16.50,16.50
16.50,16.50
1.75,1.75
1.75,1.75
1.75,1.75
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
16.50,16.50
,
1.75,1.75
,
52.00,52.00
52.00,52.00
0.93,0.93
0.93,0.93
1.58,1.58
15.75,15.75
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
22.50,22.50
22.50,22.50
16.50,16.50
16.50,16.50
16.50,16.50
16.50,16.50
1.75,1.75
1.75,1.75
1.75,1.75
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
16.50,16.50
,
1.75,1.75
,
52.00,52.00
52.00,52.00
0.93,0.93
0.93,0.93
1.58,1.58
15.75,15.75
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
10.00,10.00
10.00,10.00
10.00,10.00
10.00,10.00
2.50,2.50
2.50,2.50
2.50,2.50
2.50,2.50
8.00,8.00
8.00,8.00
8.00,8.00
8.00,8.00
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
22.50,22.50
22.50,22.50
22.50,22.50
22.50,22.50
16.50,16.50
16.50,16.50
16.50,16.50
16.50,16.50
1.75,1.75
1.75,1.75
1.75,1.75
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
6.00,6.00
2.00,2.00
2.00,2.00
2.00,2.00
2.00,2.00
39.50,39.50
39.50,39.50
39.50,39.50
39.50,39.50
49.50,49.50
49.50,49.50
49.50,49.50
49.50,49.50
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
6.00,6.00
6.00,6.00
1.75,1.75
52.00,52.00
52.00,52.00
52.00,52.00
52.00,52.00
15.75,15.75
15.75,15.75
15.75,15.75
15.75,15.75
3.00,3.00
3.00,3.00
3.00,3.00
3.00,3.00
14.50,14.50
14.50,14.50
14.50,14.50
14.50,14.50
6.00,6.00
